backbone,clean_val_acc,corruption_mean_acc,corruption_mean_error,corruption_worst_acc,mean_drop,relative_robustness_mean,worst_drop
densenet121,0.9552556818181818,0.5880373023977183,0.41196269760228166,0.033380681818181816,0.3672183794204634,0.6155810570825185,0.921875
inception_v3,0.8740118579431013,0.6986509117043832,0.3013490882956168,0.23110177867453208,0.17536094623871812,0.7993609072405351,0.6429100792685692
resnet50,0.9595170454545454,0.6103871597184074,0.3896128402815926,0.029829545454545456,0.349129885736138,0.6361399858501241,0.9296875
