timestamp,backbone,scenario,epochs,batch_size,image_size,seed,few_shot_frac,transfer_mode,ckpt,val_acc,seconds,artifact_accuracy_curves,artifact_confusion_matrix,artifact_classification_report,artifact_pca_2d,artifact_tsne_2d,val_precision_macro,val_recall_macro,val_f1_macro
2026-03-13 11:43:31,resnet50,linear_probe,30,32,299,1337,,linear_probe,model_checkpoints/linear_probe/resnet50/20260313-114331/best.pt,0.8913352272727273,577.95,results/linear_probe/resnet50/20260313-114331/accuracy_curves.png,results/linear_probe/resnet50/20260313-114331/confusion_matrix.png,results/linear_probe/resnet50/20260313-114331/classification_report.txt,results/linear_probe/resnet50/20260313-114331/feature_viz/pca_2d.png,results/linear_probe/resnet50/20260313-114331/feature_viz/tsne_2d.png,0.891864296140859,0.8849343048371835,0.884723029353039
2026-03-13 11:53:21,inception_v3,linear_probe,30,32,299,1337,,linear_probe,model_checkpoints/linear_probe/inception_v3/20260313-115321/best.pt,0.8821022727272727,554.42,results/linear_probe/inception_v3/20260313-115321/accuracy_curves.png,results/linear_probe/inception_v3/20260313-115321/confusion_matrix.png,results/linear_probe/inception_v3/20260313-115321/classification_report.txt,results/linear_probe/inception_v3/20260313-115321/feature_viz/pca_2d.png,results/linear_probe/inception_v3/20260313-115321/feature_viz/tsne_2d.png,0.8787618457618767,0.8749408763487988,0.8749518521575603
2026-03-13 12:02:49,densenet121,linear_probe,30,32,299,1337,,linear_probe,model_checkpoints/linear_probe/densenet121/20260313-120249/best.pt,0.9204545454545454,566.67,results/linear_probe/densenet121/20260313-120249/accuracy_curves.png,results/linear_probe/densenet121/20260313-120249/confusion_matrix.png,results/linear_probe/densenet121/20260313-120249/classification_report.txt,results/linear_probe/densenet121/20260313-120249/feature_viz/pca_2d.png,results/linear_probe/densenet121/20260313-120249/feature_viz/tsne_2d.png,0.9168772162928149,0.9165510565994422,0.9154700156193661
