timestamp,backbone,scenario,epochs,batch_size,image_size,seed,few_shot_frac,transfer_mode,val_acc_early,val_acc_mid,val_acc_final,layer_early,layer_mid,layer_final,norm_mean_early,norm_mean_mid,norm_mean_final,norm_std_early,norm_std_mid,norm_std_final,artifact_val_acc_vs_depth,artifact_feature_norm_vs_depth,artifact_pca_2d_across_depths_fixed_subset,fixed_subset_samples_per_class,fixed_subset_total_samples,seconds
2026-03-16 15:58:03,resnet50,layer_probe,30,32,299,1337,,full_ft,0.8334524660471766,0.8892065761258041,0.9642601858470335,layer1,layer2,layer4,19.252866744995117,49.6789436340332,16.064678192138672,1.0966618061065674,1.9591479301452637,3.8963027000427246,results/layer_probe/resnet50/20260316-155803/val_acc_vs_depth.png,results/layer_probe/resnet50/20260316-155803/feature_norm_vs_depth.png,results/layer_probe/resnet50/20260316-155803/pca_2d_across_depths_fixed_subset.png,30,900,637.32
2026-03-16 16:08:41,inception_v3,layer_probe,30,32,299,1337,,full_ft,0.49035025017869904,0.8963545389563974,0.9506790564689064,Conv2d_1a_3x3,Mixed_6a,fc,8.347847938537598,19.183055877685547,34.28886795043945,0.43312445282936096,1.4776091575622559,7.10136604309082,results/layer_probe/inception_v3/20260316-160840/val_acc_vs_depth.png,results/layer_probe/inception_v3/20260316-160840/feature_norm_vs_depth.png,results/layer_probe/inception_v3/20260316-160840/pca_2d_across_depths_fixed_subset.png,30,900,630.9
2026-03-16 16:19:12,densenet121,layer_probe,30,32,299,1337,,full_ft,0.8034310221586848,0.8842030021443888,0.949964260185847,features.denseblock1,features.denseblock2,features.denseblock4,119.32494354248047,63.711402893066406,67.85234832763672,22.653379440307617,8.730076789855957,4.176859378814697,results/layer_probe/densenet121/20260316-161911/val_acc_vs_depth.png,results/layer_probe/densenet121/20260316-161911/feature_norm_vs_depth.png,results/layer_probe/densenet121/20260316-161911/pca_2d_across_depths_fixed_subset.png,30,900,786.14
